offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
188.0 to 188.875,"[0, 2, 5, 7, 9, 10]","['A4', 'B-4', 'C5', 'D5', 'F2', 'F3', 'G4']","[1, 0, 1, 0, 0, 2, 0, 1, 0, 1, 1, 0]"
189.0 to 189.875,[10],"['B-2', 'B-3', 'B-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
190.0 to 190.75,[10],"['B-3', 'B-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
192.0 to 192.0,[7],"['G2', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
193.0 to 193.875,"[0, 2, 10]","['B-2', 'B-3', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
194.0 to 194.875,"[2, 9, 10]","['A4', 'B-4', 'D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
195.0 to 195.875,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
196.0 to 196.5,"[0, 2, 9, 10]","['A4', 'B-4', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
197.0 to 197.875,"[2, 6, 7, 9, 10]","['A4', 'B-4', 'D4', 'D5', 'F#4', 'G4']","[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0]"
198.0 to 198.875,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
199.0 to 199.5,"[0, 2, 9, 10]","['A4', 'B-4', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
200.0 to 200.875,"[2, 6, 7, 9, 10]","['A4', 'B-4', 'D3', 'D4', 'F#4', 'G4']","[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0]"
201.0 to 201.875,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
202.0 to 202.5,"[0, 2, 9, 10]","['A4', 'B-4', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
203.0 to 203.875,"[2, 6, 7, 9, 10]","['A4', 'B-4', 'D4', 'D5', 'F#4', 'G4']","[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0]"
204.0 to 204.875,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
205.0 to 205.875,"[9, 10]","['A4', 'B-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
206.0 to 206.875,"[2, 6, 7]","['D4', 'D5', 'F#4', 'G4']","[0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
207.0 to 207.0,"[7, 10]","['B-3', 'B-4', 'G4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0]"
208.0 to 208.0,"[2, 10]","['B-4', 'D5']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
209.0 to 209.0,"[0, 2, 6]","['C5', 'D5', 'F#3', 'F#4']","[1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
210.0 to 210.875,"[0, 7, 10]","['B-4', 'C5', 'G3', 'G4', 'G5']","[1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0]"
211.0 to 211.79166669999998,"[2, 10]","['B-4', 'D5']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
212.0 to 212.0,"[0, 6, 9]","['A4', 'C5', 'F#3', 'F#4']","[1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0]"
213.0 to 213.0,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
214.0 to 214.0,"[3, 7, 10]","['B-4', 'E-5', 'G3', 'G4']","[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0]"
215.0 to 215.0,"[2, 5, 9]","['A4', 'D5', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
216.0 to 216.0,"[0, 3, 7]","['C5', 'E-3', 'E-4', 'G4']","[1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]"
217.5 to 217.5,"[3, 7, 9]","['A4', 'E-3', 'E-4', 'G4']","[0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0]"
218.0 to 218.0,"[2, 5, 10]","['B-4', 'D3', 'D4', 'F4']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
219.0 to 219.0,"[0, 3, 7]","['C5', 'E-3', 'E-4', 'G4']","[1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]"
220.5 to 220.5,"[3, 7, 9]","['A4', 'E-3', 'E-4', 'G4']","[0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0]"
221.0 to 221.0,"[2, 5, 10]","['B-4', 'D3', 'D4', 'F4']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
222.0 to 222.875,"[0, 2, 3, 5, 7]","['C5', 'D5', 'E-3', 'E-4', 'E-5', 'F5', 'G5']","[1, 0, 1, 3, 0, 1, 0, 1, 0, 0, 0, 0]"
223.0 to 223.0,"[2, 5, 10]","['B-4', 'D5', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0]"
224.0 to 224.875,"[0, 2, 5, 7, 9, 10]","['A4', 'B-4', 'C5', 'D5', 'F2', 'F3', 'G4']","[1, 0, 1, 0, 0, 2, 0, 1, 0, 1, 1, 0]"
225.0 to 225.875,[10],"['B-2', 'B-3', 'B-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
226.0 to 226.75,[10],"['B-3', 'B-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
228.0 to 228.0,[10],['B-4'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
229.0 to 229.5,"[3, 5]","['E-5', 'F5']","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
230.0 to 230.5,"[0, 2]","['C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
231.0 to 231.875,"[2, 10]","['B-3', 'D5']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
232.0 to 232.5,"[0, 2, 3, 5]","['C5', 'D5', 'E-4', 'F4']","[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
233.0 to 233.5,"[0, 2, 9, 10]","['A4', 'B-4', 'C4', 'D4']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
234.0 to 234.0,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
235.0 to 235.5,"[2, 5, 7, 11]","['B4', 'D4', 'F3', 'F4', 'G3', 'G4']","[0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 0, 1]"
236.0 to 236.75,"[2, 3, 11]","['B4', 'D3', 'D4', 'E-3', 'E-4']","[0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1]"
237.0 to 237.0,"[0, 3]","['C3', 'C4', 'C5', 'E-4']","[3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
238.0 to 238.5,"[5, 7]","['F5', 'G5']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
239.0 to 239.5,"[2, 3]","['D5', 'E-5']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
240.0 to 240.875,"[0, 3]","['C4', 'E-5']","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
241.0 to 241.5,"[2, 3, 5, 7]","['D5', 'E-5', 'F4', 'G4']","[0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]"
242.0 to 242.5,"[0, 2, 3, 11]","['B4', 'C5', 'D4', 'E-4']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
243.0 to 243.0,"[0, 3]","['C3', 'C4', 'C5', 'E-4']","[3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
244.0 to 244.5,"[1, 4, 7, 9]","['A3', 'A4', 'C#5', 'E4', 'G3', 'G4']","[0, 1, 0, 0, 1, 0, 0, 2, 0, 2, 0, 0]"
245.0 to 245.75,"[1, 4, 6]","['C#5', 'E3', 'E4', 'F#3', 'F#4']","[0, 1, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0]"
246.0 to 246.0,"[2, 6]","['D3', 'D4', 'D5', 'F#4']","[0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
247.0 to 247.5,"[0, 2, 3, 10]","['B-4', 'C5', 'D5', 'E-5']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
248.0 to 248.5,"[0, 3, 7, 9, 10]","['A4', 'B-4', 'C5', 'E-5', 'G4']","[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0]"
249.0 to 249.0,"[2, 3, 6, 9]","['A4', 'D3', 'E-5', 'F#4']","[0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
250.0 to 250.5,"[0, 2, 9, 10]","['A4', 'B-4', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
251.0 to 251.5,"[2, 5, 7, 9, 10]","['A4', 'B-4', 'D5', 'F4', 'G4']","[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0]"
252.0 to 252.0,"[2, 3, 7]","['D3', 'D5', 'E-4', 'G4']","[0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
253.0 to 253.5,"[0, 7, 9, 10]","['A4', 'B-4', 'C5', 'G4']","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
254.0 to 254.5,"[0, 4, 6, 7, 9]","['A4', 'C5', 'E4', 'F#4', 'G4']","[1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0]"
255.0 to 255.0,"[0, 2, 6]","['C5', 'D3', 'D4', 'F#4']","[1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
256.0 to 256.875,"[7, 9, 10]","['A4', 'B-4', 'G2', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 1, 0]"
257.0 to 257.5,"[5, 7]","['F3', 'F4', 'G3', 'G4']","[0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0]"
258.0 to 258.5,"[2, 3]","['D3', 'D4', 'E-3', 'E-4']","[0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
259.0 to 259.5,"[0, 10]","['B-2', 'B-3', 'C3', 'C4']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
260.0 to 260.5,"[7, 9]","['A2', 'A3', 'G2', 'G3']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0]"
261.0 to 261.0,[2],"['D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
264.0 to 264.0,[7],"['G2', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
265.0 to 265.875,"[0, 2, 10]","['B-2', 'B-3', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
266.0 to 266.875,"[2, 9, 10]","['A4', 'B-4', 'D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
267.0 to 267.875,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
268.0 to 268.5,"[0, 2, 9, 10]","['A4', 'B-4', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
269.0 to 269.875,"[2, 6, 7, 9, 10]","['A4', 'B-4', 'D3', 'D4', 'F#4', 'G4']","[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0]"
270.0 to 270.875,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
271.0 to 271.5,"[0, 2, 9, 10]","['A4', 'B-4', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
272.0 to 272.875,"[2, 6, 7, 9, 10]","['A4', 'B-4', 'D3', 'D4', 'F#4', 'G4']","[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0]"
273.0 to 273.0,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
274.0 to 274.5,"[5, 7]","['F5', 'G5']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
275.0 to 275.875,"[2, 3, 7, 11]","['B3', 'B4', 'D5', 'E-5', 'G4']","[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 2]"
276.0 to 276.0,"[0, 3, 7]","['C4', 'C5', 'E-5', 'G4']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
277.0 to 277.5,"[0, 2, 3, 10]","['B-5', 'C6', 'D5', 'E-5']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
278.0 to 278.5,"[0, 7, 9, 10]","['A5', 'B-4', 'C5', 'G5']","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
279.0 to 279.875,"[2, 6, 7, 9, 10]","['A4', 'B-4', 'D3', 'D4', 'F#5', 'G5']","[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0]"
280.0 to 280.7916667,"[0, 2, 6, 9]","['A4', 'C4', 'C5', 'D4', 'D5', 'F#5']","[2, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
281.0 to 281.0,"[7, 10]","['B-3', 'B-4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0]"
282.0 to 282.875,"[0, 2, 3, 9, 10]","['A4', 'B-4', 'C4', 'C5', 'D5', 'E-5']","[2, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0]"
283.0 to 283.0,"[2, 7, 10]","['B-4', 'D4', 'D5', 'G4']","[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
284.0 to 284.875,"[2, 4, 6, 7, 9, 10]","['A4', 'B-4', 'D3', 'D4', 'E4', 'F#4', 'G4']","[0, 0, 2, 0, 1, 0, 1, 1, 0, 1, 1, 0]"
285.0 to 285.875,[7],"['G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
286.0 to 286.75,"[2, 7]","['D3', 'D4', 'G4']","[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
287.0 to 287.0,[7],"['G2', 'G3']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
288.0 to 288.0,[10],['B-4'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
289.0 to 289.5,"[3, 5]","['E-5', 'F5']","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
290.0 to 290.5,"[0, 2]","['C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
291.0 to 291.875,"[2, 10]","['B-3', 'D5']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
292.0 to 292.5,"[0, 2, 3, 5]","['C5', 'D5', 'E-4', 'F4']","[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
293.0 to 293.5,"[0, 2, 9, 10]","['A4', 'B-4', 'C4', 'D4']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
294.0 to 294.0,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
295.0 to 295.5,"[2, 5, 7, 11]","['B4', 'D4', 'F3', 'F4', 'G3', 'G4']","[0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 0, 1]"
296.0 to 296.75,"[2, 3, 11]","['B4', 'D3', 'D4', 'E-3', 'E-4']","[0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1]"
297.0 to 297.0,"[0, 3]","['C3', 'C4', 'C5', 'E-4']","[3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
298.0 to 298.5,"[5, 7]","['F5', 'G5']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
299.0 to 299.5,"[2, 3]","['D5', 'E-5']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
300.0 to 300.875,"[0, 3]","['C4', 'E-5']","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
301.0 to 301.5,"[2, 3, 5, 7]","['D5', 'E-5', 'F4', 'G4']","[0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]"
302.0 to 302.5,"[0, 2, 3, 11]","['B4', 'C5', 'D4', 'E-4']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
303.0 to 303.0,"[0, 3]","['C3', 'C4', 'C5', 'E-4']","[3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
304.0 to 304.5,"[1, 4, 7, 9]","['A3', 'A4', 'C#5', 'E4', 'G3', 'G4']","[0, 1, 0, 0, 1, 0, 0, 2, 0, 2, 0, 0]"
305.0 to 305.75,"[1, 4, 6]","['C#5', 'E3', 'E4', 'F#3', 'F#4']","[0, 1, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0]"
306.0 to 306.0,"[2, 6]","['D3', 'D4', 'D5', 'F#4']","[0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
307.0 to 307.5,"[0, 2, 3, 10]","['B-4', 'C5', 'D5', 'E-5']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
308.0 to 308.5,"[0, 3, 7, 9, 10]","['A4', 'B-4', 'C5', 'E-5', 'G4']","[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0]"
309.0 to 309.0,"[2, 3, 6, 9]","['A4', 'D3', 'E-5', 'F#4']","[0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
310.0 to 310.5,"[0, 2, 9, 10]","['A4', 'B-4', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
311.0 to 311.5,"[2, 5, 7, 9, 10]","['A4', 'B-4', 'D5', 'F4', 'G4']","[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0]"
312.0 to 312.0,"[2, 3, 7]","['D3', 'D5', 'E-4', 'G4']","[0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
313.0 to 313.5,"[0, 7, 9, 10]","['A4', 'B-4', 'C5', 'G4']","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
314.0 to 314.5,"[0, 4, 6, 7, 9]","['A4', 'C5', 'E4', 'F#4', 'G4']","[1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0]"
315.0 to 315.0,"[0, 2, 6]","['C5', 'D3', 'D4', 'F#4']","[1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
316.0 to 316.875,"[7, 9, 10]","['A4', 'B-4', 'G2', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 1, 0]"
317.0 to 317.5,"[5, 7]","['F3', 'F4', 'G3', 'G4']","[0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0]"
318.0 to 318.5,"[2, 3]","['D3', 'D4', 'E-3', 'E-4']","[0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
319.0 to 319.5,"[0, 10]","['B-2', 'B-3', 'C3', 'C4']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
320.0 to 320.5,"[7, 9]","['A2', 'A3', 'G2', 'G3']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0]"
321.0 to 321.0,[2],"['D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
324.0 to 324.0,[7],"['G2', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
325.0 to 325.875,"[0, 2, 10]","['B-2', 'B-3', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
326.0 to 326.875,"[2, 9, 10]","['A4', 'B-4', 'D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
327.0 to 327.875,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
328.0 to 328.5,"[0, 2, 9, 10]","['A4', 'B-4', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
329.0 to 329.875,"[2, 6, 7, 9, 10]","['A4', 'B-4', 'D3', 'D4', 'F#4', 'G4']","[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0]"
330.0 to 330.875,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
331.0 to 331.5,"[0, 2, 9, 10]","['A4', 'B-4', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
332.0 to 332.875,"[2, 6, 7, 9, 10]","['A4', 'B-4', 'D3', 'D4', 'F#4', 'G4']","[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0]"
333.0 to 333.0,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
334.0 to 334.5,"[5, 7]","['F5', 'G5']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
335.0 to 335.875,"[2, 3, 7, 11]","['B3', 'B4', 'D5', 'E-5', 'G4']","[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 2]"
