offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
200.0 to 200.875,"[0, 2, 5, 9, 10]","['A4', 'B-4', 'C5', 'D5', 'F2', 'F3']","[1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 1, 0]"
201.0 to 201.875,[10],"['B-2', 'B-3', 'B-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
202.0 to 202.75,"[2, 10]","['B-4', 'D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
203.0 to 203.0,[5],"['F3', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
204.0 to 204.5,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
205.0 to 205.75,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
206.0 to 206.875,"[2, 10]","['B-4', 'B-5', 'D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
207.0 to 207.5,"[3, 7, 9, 10]","['A5', 'B-4', 'E-4', 'E-5', 'G5']","[0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0]"
208.0 to 208.5,"[2, 5, 10]","['B-4', 'D4', 'D5', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
209.0 to 209.875,"[0, 3, 10]","['B-4', 'C4', 'C5', 'E-5']","[2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
210.0 to 210.875,"[3, 10]","['B-3', 'B-4', 'E-5']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
211.0 to 211.5,"[2, 3, 10]","['B-2', 'B-3', 'B-4', 'D5', 'E-5']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0]"
212.0 to 212.875,"[0, 2, 3, 5, 10]","['B-4', 'C3', 'C4', 'D5', 'E-5', 'F5']","[2, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
213.0 to 213.875,"[2, 5, 10]","['B-4', 'D3', 'D4', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
214.0 to 214.5,"[9, 10]","['A5', 'B-4', 'B-5']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
215.0 to 215.5,"[9, 10]","['A5', 'B-4', 'B-5']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
216.0 to 216.5,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
217.0 to 217.75,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
218.0 to 218.875,"[2, 10]","['B-4', 'B-5', 'D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
219.0 to 219.5,"[3, 7, 9, 10]","['A5', 'B-4', 'E-4', 'E-5', 'G5']","[0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0]"
220.0 to 220.5,"[2, 5, 10]","['B-4', 'D4', 'D5', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
221.0 to 221.875,"[0, 3, 10]","['B-4', 'C4', 'C5', 'E-5']","[2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
222.0 to 222.875,"[3, 10]","['B-3', 'B-4', 'E-5']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
223.0 to 223.5,"[2, 3, 10]","['B-2', 'B-3', 'B-4', 'D5', 'E-5']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0]"
224.0 to 224.875,"[0, 2, 3, 5, 10]","['B-4', 'C3', 'C4', 'D5', 'E-5', 'F5']","[2, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
225.0 to 225.875,"[2, 5, 10]","['B-4', 'D3', 'D4', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
226.0 to 226.5,[10],['B-4'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
227.0 to 227.875,"[2, 10]","['B-4', 'B-5', 'D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
228.0 to 228.875,"[3, 6, 7, 10]","['B-4', 'E-3', 'E-4', 'F#5', 'G5']","[0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 1, 0]"
229.0 to 229.5,"[7, 10]","['B-4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
230.0 to 230.875,"[3, 7, 9, 10]","['A5', 'B-4', 'E-4', 'E-5', 'G5']","[0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0]"
231.0 to 231.875,"[2, 5, 10]","['B-4', 'B-5', 'D4', 'D5', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
232.0 to 232.5,"[2, 9, 10]","['A5', 'B-4', 'D6']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
233.0 to 233.875,"[2, 5, 10]","['B-4', 'B-5', 'D3', 'D4', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
234.0 to 234.875,"[3, 5, 10]","['B-4', 'E-3', 'E-4', 'E-5', 'F5']","[0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0]"
235.0 to 235.875,"[2, 5, 10]","['B-4', 'D5', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0]"
236.0 to 236.875,"[0, 2, 5, 9, 10]","['A4', 'B-4', 'C5', 'D5', 'F2', 'F3']","[1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 1, 0]"
237.0 to 237.875,[10],"['B-2', 'B-3', 'B-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
238.0 to 238.75,"[2, 10]","['B-4', 'D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
239.0 to 239.0,[10],"['B-2', 'B-3']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
240.0 to 240.5,"[5, 9]","['A3', 'F2', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
241.0 to 241.75,"[5, 9]","['A3', 'F2', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
242.0 to 242.875,"[5, 9]","['A4', 'F4', 'F5']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
243.0 to 243.5,"[0, 2, 4, 5, 10]","['B-4', 'C5', 'D5', 'E5', 'F4']","[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0]"
244.0 to 244.5,"[0, 5, 9]","['A4', 'C5', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
245.0 to 245.875,"[5, 7, 10]","['B-4', 'F4', 'G4']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]"
246.0 to 246.5,"[5, 7, 10]","['B-4', 'F4', 'G4']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]"
247.0 to 247.5,"[5, 7, 9, 10]","['A4', 'B-4', 'F4', 'G4']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]"
248.0 to 248.875,"[0, 5, 7, 9, 10]","['A4', 'B-4', 'C5', 'F4', 'G4']","[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]"
249.0 to 249.875,"[0, 5, 9]","['A4', 'C5', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
250.0 to 250.5,"[4, 5]","['E5', 'F4', 'F5']","[0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]"
251.0 to 251.5,"[4, 5]","['E5', 'F4', 'F5']","[0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]"
252.0 to 252.5,"[5, 9]","['A3', 'F2', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
253.0 to 253.75,"[5, 9]","['A3', 'F2', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
254.0 to 254.66666669999998,"[0, 2, 3, 5, 9, 10]","['A4', 'B-4', 'C5', 'D5', 'E-5', 'F4']","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0]"
255.0 to 255.5,"[2, 5, 10]","['B-3', 'D4', 'F2', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0]"
256.0 to 256.75,"[2, 5, 10]","['B-3', 'D4', 'F2', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0]"
257.0 to 257.6666667,"[0, 2, 3, 5, 10]","['B-4', 'C5', 'D5', 'E-5', 'F4', 'F5']","[1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 1, 0]"
258.0 to 258.875,"[2, 5]","['D5', 'F4', 'F5']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
259.0 to 259.6666667,"[5, 7, 9, 10]","['A5', 'B-5', 'F4', 'G5']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]"
260.0 to 260.6666667,"[0, 2, 3, 5, 10]","['B-4', 'C5', 'D5', 'E-5', 'F4', 'F5']","[1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 1, 0]"
261.0 to 261.875,"[0, 5, 9]","['A4', 'C5', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
262.0 to 262.5,"[3, 5]","['E-3', 'E-4', 'F3', 'F4']","[0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0]"
263.0 to 263.5,"[0, 2]","['C3', 'C4', 'D3', 'D4']","[2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
264.0 to 264.875,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
265.0 to 265.75,"[2, 10]","['B-2', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
266.0 to 266.875,"[2, 10]","['B-4', 'B-5', 'D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
267.0 to 267.5,"[3, 7, 9, 10]","['A5', 'B-4', 'E-4', 'E-5', 'G5']","[0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0]"
268.0 to 268.5,"[2, 5, 10]","['B-4', 'D4', 'D5', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
269.0 to 269.875,"[0, 3, 10]","['B-4', 'C4', 'C5', 'E-5']","[2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
270.0 to 270.875,"[3, 10]","['B-3', 'B-4', 'E-5']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
271.0 to 271.5,"[2, 3, 10]","['B-2', 'B-3', 'B-4', 'D5', 'E-5']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0]"
272.0 to 272.875,"[0, 2, 3, 5, 10]","['B-4', 'C3', 'C4', 'D5', 'E-5', 'F5']","[2, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
273.0 to 273.875,"[2, 5, 10]","['B-4', 'D3', 'D4', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
274.0 to 274.5,"[9, 10]","['A5', 'B-4', 'B-5']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
275.0 to 275.5,"[9, 10]","['A5', 'B-4', 'B-5']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
276.0 to 276.875,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
277.0 to 277.5,"[0, 8, 10]","['B-4', 'C3', 'C4', 'G#5']","[2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
278.0 to 278.875,"[2, 8, 10]","['B-4', 'D3', 'D4', 'G#5']","[0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
279.0 to 279.875,"[3, 7, 8, 10]","['B-4', 'E-3', 'E-4', 'G#5', 'G5']","[0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0]"
280.0 to 280.5,"[7, 10]","['B-4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
281.0 to 281.75,"[7, 10]","['B-4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
282.0 to 282.875,"[3, 6, 7, 10]","['B-4', 'E-4', 'E-5', 'F#5', 'G5']","[0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 1, 0]"
283.0 to 283.875,"[3, 7, 10]","['B-4', 'E-4', 'E-5', 'G5']","[0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0]"
284.0 to 284.875,"[3, 7, 9, 10]","['A5', 'B-4', 'E-4', 'E-5', 'G5']","[0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0]"
285.0 to 285.875,"[2, 5, 10]","['B-4', 'B-5', 'D4', 'D5', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
286.0 to 286.5,"[2, 9, 10]","['A5', 'B-4', 'D6']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
287.0 to 287.875,"[2, 5, 10]","['B-4', 'B-5', 'D3', 'D4', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
288.0 to 288.875,"[3, 5, 10]","['B-4', 'E-3', 'E-4', 'E-5', 'F5']","[0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0]"
289.0 to 289.875,"[2, 5, 10]","['B-4', 'D5', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0]"
290.0 to 290.875,"[0, 2, 5, 9, 10]","['A4', 'B-4', 'C5', 'D5', 'F2', 'F3']","[1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 1, 0]"
291.0 to 291.875,[10],"['B-2', 'B-3', 'B-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
292.0 to 292.75,"[2, 10]","['B-4', 'D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
293.0 to 293.0,[10],"['B-2', 'B-3']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
294.0 to 294.5,"[5, 9]","['A3', 'F2', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
295.0 to 295.75,"[5, 9]","['A3', 'F2', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
296.0 to 296.875,"[5, 9]","['A4', 'F4', 'F5']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
297.0 to 297.5,"[0, 2, 4, 5, 10]","['B-4', 'C5', 'D5', 'E5', 'F4']","[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0]"
298.0 to 298.5,"[0, 5, 9]","['A4', 'C5', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
299.0 to 299.875,"[5, 7, 10]","['B-4', 'F4', 'G4']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]"
300.0 to 300.5,"[5, 7, 10]","['B-4', 'F4', 'G4']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]"
301.0 to 301.5,"[5, 7, 9, 10]","['A4', 'B-4', 'F4', 'G4']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]"
302.0 to 302.875,"[0, 5, 7, 9, 10]","['A4', 'B-4', 'C5', 'F4', 'G4']","[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]"
303.0 to 303.875,"[0, 5, 9]","['A4', 'C5', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
304.0 to 304.5,"[4, 5]","['E5', 'F4', 'F5']","[0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]"
305.0 to 305.5,"[4, 5]","['E5', 'F4', 'F5']","[0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]"
306.0 to 306.5,"[5, 9]","['A3', 'F2', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
307.0 to 307.75,"[5, 9]","['A3', 'F2', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
308.0 to 308.6666667,"[0, 2, 3, 5, 9, 10]","['A4', 'B-4', 'C5', 'D5', 'E-5', 'F4']","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0]"
309.0 to 309.5,"[2, 5, 10]","['B-3', 'D4', 'F2', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0]"
310.0 to 310.75,"[2, 5, 10]","['B-3', 'D4', 'F2', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0]"
311.0 to 311.6666667,"[0, 2, 3, 5, 10]","['B-4', 'C5', 'D5', 'E-5', 'F4', 'F5']","[1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 1, 0]"
312.0 to 312.875,"[2, 5]","['D5', 'F4', 'F5']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
313.0 to 313.6666667,"[5, 7, 9, 10]","['A5', 'B-5', 'F4', 'G5']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]"
314.0 to 314.6666667,"[0, 2, 3, 5, 10]","['B-4', 'C5', 'D5', 'E-5', 'F4', 'F5']","[1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 1, 0]"
315.0 to 315.875,"[0, 5, 9]","['A4', 'C5', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
316.0 to 316.5,"[3, 5]","['E-3', 'E-4', 'F3', 'F4']","[0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0]"
317.0 to 317.5,"[0, 2]","['C3', 'C4', 'D3', 'D4']","[2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
318.0 to 318.875,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
319.0 to 319.75,"[2, 10]","['B-2', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
320.0 to 320.875,"[2, 10]","['B-4', 'B-5', 'D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
321.0 to 321.5,"[3, 7, 9, 10]","['A5', 'B-4', 'E-4', 'E-5', 'G5']","[0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0]"
322.0 to 322.5,"[2, 5, 10]","['B-4', 'D4', 'D5', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
323.0 to 323.875,"[0, 3, 10]","['B-4', 'C4', 'C5', 'E-5']","[2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
324.0 to 324.875,"[3, 10]","['B-3', 'B-4', 'E-5']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
325.0 to 325.5,"[2, 3, 10]","['B-2', 'B-3', 'B-4', 'D5', 'E-5']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0]"
326.0 to 326.875,"[0, 2, 3, 5, 10]","['B-4', 'C3', 'C4', 'D5', 'E-5', 'F5']","[2, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
327.0 to 327.875,"[2, 5, 10]","['B-4', 'D3', 'D4', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
328.0 to 328.5,"[9, 10]","['A5', 'B-4', 'B-5']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
329.0 to 329.5,"[9, 10]","['A5', 'B-4', 'B-5']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
330.0 to 330.875,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
331.0 to 331.5,"[0, 8, 10]","['B-4', 'C3', 'C4', 'G#5']","[2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
332.0 to 332.875,"[2, 8, 10]","['B-4', 'D3', 'D4', 'G#5']","[0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
333.0 to 333.875,"[3, 7, 8, 10]","['B-4', 'E-3', 'E-4', 'G#5', 'G5']","[0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0]"
334.0 to 334.5,"[7, 10]","['B-4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
335.0 to 335.75,"[7, 10]","['B-4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
336.0 to 336.875,"[3, 6, 7, 10]","['B-4', 'E-4', 'E-5', 'F#5', 'G5']","[0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 1, 0]"
337.0 to 337.875,"[3, 7, 10]","['B-4', 'E-4', 'E-5', 'G5']","[0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0]"
338.0 to 338.875,"[3, 7, 9, 10]","['A5', 'B-4', 'E-4', 'E-5', 'G5']","[0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0]"
339.0 to 339.875,"[2, 5, 10]","['B-4', 'B-5', 'D4', 'D5', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
340.0 to 340.5,"[2, 9, 10]","['A5', 'B-4', 'D6']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
