offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
194.0 to 194.625,"[2, 4]","['D4', 'D5', 'E4']","[0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
195.0 to 195.875,"[1, 4, 10]","['B-3', 'C#4', 'E4', 'E5']","[0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0]"
196.0 to 196.625,"[4, 7, 9]","['A3', 'E4', 'E5', 'G3']","[0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0]"
197.0 to 197.625,"[4, 5]","['E3', 'E4', 'E5', 'F3']","[0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0]"
198.0 to 198.875,"[2, 5, 9]","['A4', 'D3', 'F4', 'F5']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
199.0 to 199.625,"[5, 7]","['F4', 'F5', 'G4']","[0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0]"
200.0 to 200.625,"[2, 4, 5]","['D4', 'E4', 'F4', 'F5']","[0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0]"
201.0 to 201.875,"[7, 10]","['B-4', 'G3', 'G4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0]"
202.0 to 202.625,"[4, 5, 7]","['E3', 'F3', 'G4', 'G5']","[0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0]"
203.0 to 203.625,"[0, 2, 7]","['C3', 'D3', 'G4', 'G5']","[1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
204.0 to 204.875,"[0, 5, 9]","['A4', 'A5', 'C5', 'F3']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
205.0 to 205.625,"[9, 10]","['A4', 'A5', 'B-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0]"
206.0 to 206.625,"[5, 7, 9]","['A4', 'A5', 'F4', 'G4']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0]"
207.0 to 207.875,"[2, 10]","['B-3', 'B-4', 'B-5', 'D5']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
208.0 to 208.625,"[7, 9, 10]","['A3', 'B-4', 'B-5', 'G3']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0]"
209.0 to 209.875,"[4, 5, 7, 10]","['B-4', 'B-5', 'E3', 'F3', 'G5']","[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 2, 0]"
210.0 to 210.625,"[5, 9]","['A3', 'A4', 'A5', 'F3', 'F5']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0]"
211.0 to 211.625,"[0, 5, 9, 10]","['A3', 'A4', 'B-3', 'C4', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0]"
212.0 to 212.875,"[0, 2, 4, 5, 7, 9]","['A4', 'C3', 'C4', 'D4', 'E4', 'F4', 'G3', 'G4']","[2, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0]"
213.0 to 213.625,"[5, 7]","['F3', 'F4', 'G3']","[0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0]"
214.0 to 214.625,"[5, 7, 9]","['A3', 'F3', 'F4', 'G3']","[0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0]"
215.0 to 215.5,"[4, 5]","['E3', 'F3']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
216.0 to 216.875,[5],"['F3', 'F4', 'F5']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
217.0 to 217.625,"[5, 7, 9]","['A4', 'F4', 'F5', 'G4']","[0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0]"
218.0 to 218.625,"[5, 9, 10]","['A4', 'B-4', 'F4', 'F5']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0]"
219.0 to 219.875,"[0, 3, 5]","['C5', 'E-4', 'E-5', 'F3']","[1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0]"
220.0 to 220.625,"[3, 5, 7]","['E-4', 'E-5', 'F3', 'G3']","[0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0]"
221.0 to 221.625,"[3, 7, 9]","['A3', 'E-4', 'E-5', 'G3']","[0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0]"
222.0 to 222.875,"[2, 10]","['B-3', 'D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
223.0 to 223.625,"[0, 2]","['C4', 'D4', 'D5']","[1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
224.0 to 224.625,"[2, 4]","['D4', 'D5', 'E4']","[0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
225.0 to 225.875,"[0, 6, 9]","['A3', 'C4', 'C5', 'F#4']","[2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
226.0 to 226.625,"[0, 2, 6]","['C4', 'C5', 'D3', 'F#3']","[2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
227.0 to 227.625,"[0, 4, 6]","['C4', 'C5', 'E3', 'F#3']","[2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
228.0 to 228.875,"[7, 10]","['B-3', 'B-4', 'G3']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0]"
229.0 to 229.625,"[0, 7, 10]","['B-3', 'B-4', 'C4', 'G4']","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0]"
230.0 to 230.625,"[2, 4, 10]","['B-3', 'B-4', 'D4', 'E4']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0]"
231.0 to 231.625,"[5, 9]","['A3', 'A4', 'F3', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0]"
232.0 to 232.625,"[0, 5, 9]","['A3', 'A4', 'C4', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
233.0 to 233.625,"[0, 2, 5, 9]","['A3', 'A4', 'C4', 'D4', 'F4']","[1, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
234.0 to 234.625,"[5, 7, 9, 10]","['A3', 'B-3', 'F4', 'G3', 'G4']","[0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 1, 0]"
235.0 to 235.625,"[5, 7, 10]","['B-3', 'F4', 'G3', 'G4']","[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 0]"
236.0 to 236.625,"[0, 4]","['C3', 'C4', 'E3', 'E4']","[2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
237.0 to 237.625,"[5, 7]","['F3', 'F4', 'G3']","[0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0]"
238.0 to 238.5,"[7, 9]","['A3', 'G3']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
239.0 to 239.5,"[4, 5]","['E3', 'F3']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
240.0 to 240.625,"[2, 3, 6]","['D3', 'E-3', 'F#3', 'F#4']","[0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0]"
241.0 to 241.625,"[0, 2, 6]","['C3', 'D3', 'F#3', 'F#4']","[1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
242.0 to 242.625,"[6, 9, 10]","['A2', 'B-2', 'F#3', 'F#4']","[0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 0]"
243.0 to 243.875,"[2, 7]","['D5', 'G2', 'G3', 'G4']","[0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
244.0 to 244.625,"[0, 2, 7]","['C5', 'D5', 'G3', 'G4']","[1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
245.0 to 245.625,"[7, 9, 10]","['A4', 'B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0]"
246.0 to 246.625,"[5, 8]","['F3', 'G#3', 'G#4']","[0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0]"
247.0 to 247.625,"[2, 4, 8]","['D3', 'E3', 'G#3', 'G#4']","[0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0]"
248.0 to 248.625,"[1, 8, 11]","['B2', 'C#3', 'G#3', 'G#4']","[0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1]"
249.0 to 249.875,"[4, 9]","['A2', 'A3', 'A4', 'E5']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0]"
250.0 to 250.625,"[1, 2, 9]","['A3', 'A4', 'C#5', 'D5']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
251.0 to 251.625,"[9, 11]","['A3', 'A4', 'B4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1]"
252.0 to 252.625,"[7, 10]","['B-3', 'B-4', 'G3', 'G5']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0]"
253.0 to 253.625,"[4, 5, 10]","['B-3', 'B-4', 'E3', 'F3']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0]"
254.0 to 254.5,"[1, 2, 10]","['B-4', 'B-5', 'C#3', 'D3']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
255.0 to 255.5,"[2, 5, 9]","['A4', 'A5', 'D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
256.0 to 256.625,"[1, 4, 7]","['C#4', 'C#5', 'E3', 'G3']","[0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
257.0 to 257.625,"[2, 5]","['D3', 'D4', 'D5', 'F3']","[0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
258.0 to 258.625,"[4, 7, 10]","['B-3', 'B-4', 'E3', 'G3']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0]"
259.0 to 259.625,"[7, 9]","['A3', 'A4', 'G3']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0]"
260.0 to 260.5,"[1, 9]","['A2', 'A3', 'C#3', 'C#4']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
261.0 to 261.0,[2],"['D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
262.0 to 262.0,[9],['A2'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
263.0 to 263.0,[2],['D2'],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
264.0 to 264.875,[5],"['F3', 'F4', 'F5']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
265.0 to 265.625,"[5, 7, 9]","['A4', 'F4', 'F5', 'G4']","[0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0]"
266.0 to 266.625,"[5, 9, 10]","['A4', 'B-4', 'F4', 'F5']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0]"
267.0 to 267.875,"[0, 3, 5]","['C5', 'E-4', 'E-5', 'F3']","[1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0]"
268.0 to 268.625,"[3, 5, 7]","['E-4', 'E-5', 'F3', 'G3']","[0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0]"
269.0 to 269.625,"[3, 7, 9]","['A3', 'E-4', 'E-5', 'G3']","[0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0]"
270.0 to 270.875,"[2, 10]","['B-3', 'D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
271.0 to 271.625,"[0, 2]","['C4', 'D4', 'D5']","[1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
272.0 to 272.625,"[2, 4]","['D4', 'D5', 'E4']","[0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
273.0 to 273.875,"[0, 6, 9]","['A3', 'C4', 'C5', 'F#4']","[2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
274.0 to 274.625,"[0, 2, 6]","['C4', 'C5', 'D3', 'F#3']","[2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
275.0 to 275.625,"[0, 4, 6]","['C4', 'C5', 'E3', 'F#3']","[2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
276.0 to 276.875,"[7, 10]","['B-3', 'B-4', 'G3']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0]"
277.0 to 277.625,"[0, 7, 10]","['B-3', 'B-4', 'C4', 'G4']","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0]"
278.0 to 278.625,"[2, 4, 10]","['B-3', 'B-4', 'D4', 'E4']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0]"
279.0 to 279.625,"[5, 9]","['A3', 'A4', 'F3', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0]"
280.0 to 280.625,"[0, 5, 9]","['A3', 'A4', 'C4', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
281.0 to 281.625,"[0, 2, 5, 9]","['A3', 'A4', 'C4', 'D4', 'F4']","[1, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
282.0 to 282.625,"[5, 7, 9, 10]","['A3', 'B-3', 'F4', 'G3', 'G4']","[0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 1, 0]"
283.0 to 283.625,"[5, 7, 10]","['B-3', 'F4', 'G3', 'G4']","[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 0]"
284.0 to 284.625,"[0, 4]","['C3', 'C4', 'E3', 'E4']","[2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
285.0 to 285.625,"[5, 7]","['F3', 'F4', 'G3']","[0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0]"
286.0 to 286.5,"[7, 9]","['A3', 'G3']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
287.0 to 287.5,"[4, 5]","['E3', 'F3']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
288.0 to 288.625,"[2, 3, 6]","['D3', 'E-3', 'F#3', 'F#4']","[0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0]"
289.0 to 289.625,"[0, 2, 6]","['C3', 'D3', 'F#3', 'F#4']","[1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
290.0 to 290.625,"[6, 9, 10]","['A2', 'B-2', 'F#3', 'F#4']","[0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 0]"
291.0 to 291.875,"[2, 7]","['D5', 'G2', 'G3', 'G4']","[0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
292.0 to 292.625,"[0, 2, 7]","['C5', 'D5', 'G3', 'G4']","[1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
293.0 to 293.625,"[7, 9, 10]","['A4', 'B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0]"
294.0 to 294.625,"[5, 8]","['F3', 'G#3', 'G#4']","[0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0]"
295.0 to 295.625,"[2, 4, 8]","['D3', 'E3', 'G#3', 'G#4']","[0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0]"
296.0 to 296.625,"[1, 8, 11]","['B2', 'C#3', 'G#3', 'G#4']","[0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1]"
297.0 to 297.875,"[4, 9]","['A2', 'A3', 'A4', 'E5']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0]"
298.0 to 298.625,"[1, 2, 9]","['A3', 'A4', 'C#5', 'D5']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
299.0 to 299.625,"[9, 11]","['A3', 'A4', 'B4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1]"
300.0 to 300.625,"[7, 10]","['B-3', 'B-4', 'G3', 'G5']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0]"
301.0 to 301.625,"[4, 5, 10]","['B-3', 'B-4', 'E3', 'F3']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0]"
302.0 to 302.5,"[1, 2, 10]","['B-4', 'B-5', 'C#3', 'D3']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
303.0 to 303.5,"[2, 5, 9]","['A4', 'A5', 'D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
304.0 to 304.625,"[1, 4, 7]","['C#4', 'C#5', 'E3', 'G3']","[0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
305.0 to 305.625,"[2, 5]","['D3', 'D4', 'D5', 'F3']","[0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
306.0 to 306.625,"[4, 7, 10]","['B-3', 'B-4', 'E3', 'G3']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0]"
307.0 to 307.625,"[7, 9]","['A3', 'A4', 'G3']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0]"
308.0 to 308.5,"[1, 9]","['A2', 'A3', 'C#3', 'C#4']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
309.0 to 309.0,[2],"['D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
310.0 to 310.0,[9],['A2'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
311.0 to 311.0,[2],['D2'],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
