offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
182.0 to 182.0,"[2, 7, 11]","['B4', 'D4', 'G2', 'G3']","[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]"
183.0 to 183.875,[0],"['C3', 'C4', 'C5']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
184.0 to 184.75,"[0, 7]","['C4', 'C5', 'G2', 'G3']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
185.0 to 185.0,[0],"['C3', 'C4']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
186.0 to 186.875,"[0, 3, 7]","['C4', 'C5', 'E-4', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
187.0 to 187.75,"[0, 3, 7]","['C4', 'C5', 'E-4', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
188.0 to 188.875,"[0, 3, 7, 8]","['C4', 'C5', 'E-4', 'G#5', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]"
189.0 to 189.875,"[0, 2, 6, 7]","['C4', 'C5', 'D4', 'F#5', 'G5']","[2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
190.0 to 190.875,"[0, 2, 6]","['C4', 'C5', 'D4', 'F#5']","[2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
191.0 to 191.75,"[0, 2, 6]","['C4', 'C5', 'D4', 'F#5']","[2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
192.0 to 192.0,"[2, 5, 11]","['B3', 'B4', 'D4', 'F5']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2]"
193.0 to 193.875,"[2, 11]","['B3', 'B4', 'B5', 'D4', 'D6']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
194.0 to 194.875,"[2, 5, 7, 11]","['B3', 'B4', 'D4', 'F5', 'G5']","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2]"
195.0 to 195.875,"[0, 3, 5]","['C4', 'C5', 'E-5', 'F5']","[2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
196.0 to 196.0,"[0, 3]","['C3', 'C4', 'E-5']","[2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
198.0 to 198.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
199.0 to 199.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
200.0 to 200.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
201.0 to 201.0,"[2, 5, 8, 11]","['B4', 'D4', 'F3', 'G#5']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
202.5 to 202.5,"[2, 5, 11]","['B4', 'D4', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
203.0 to 203.0,"[0, 3, 7]","['C5', 'E-3', 'E-4', 'G4']","[1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]"
204.0 to 204.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
205.0 to 205.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
206.0 to 206.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
207.0 to 207.0,"[2, 5, 8, 11]","['B4', 'D4', 'F3', 'G#5']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
208.5 to 208.5,"[2, 5, 11]","['B4', 'D4', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
209.0 to 209.0,"[0, 3, 7]","['C5', 'E-3', 'E-4', 'G4']","[1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]"
210.0 to 210.75,"[2, 3]","['D5', 'E-5']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
211.0 to 211.0,"[0, 3, 7]","['C5', 'E-4', 'G3', 'G4']","[1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0]"
212.0 to 212.0,"[2, 7, 11]","['B4', 'D4', 'G2', 'G3']","[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]"
213.0 to 213.875,[0],"['C3', 'C4', 'C5']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
214.0 to 214.75,"[0, 7]","['C4', 'C5', 'G2', 'G3']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
215.0 to 215.0,[0],"['C3', 'C4']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
216.0 to 216.75,"[3, 7]","['E-4', 'G4']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
217.0 to 217.0,[3],['E-4'],"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
218.0 to 218.0,[7],"['G2', 'G3']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
219.0 to 219.0,[8],"['G#2', 'G#3']","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
220.0 to 220.0,"[0, 8]","['C5', 'G#4']","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
221.0 to 221.0,"[0, 8]","['C5', 'G#4']","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
222.0 to 222.75,"[5, 9]","['A4', 'F4']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
223.0 to 223.0,[5],['F4'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
224.0 to 224.0,[9],"['A2', 'A3']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
225.0 to 225.0,[10],"['B-2', 'B-3']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
226.0 to 226.0,"[2, 10]","['B-4', 'D5']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
227.0 to 227.0,"[2, 10]","['B-4', 'D5']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
228.0 to 228.875,"[2, 10]","['B-2', 'D5']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
229.0 to 229.625,"[2, 5, 8]","['D5', 'F5', 'G#4']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
230.0 to 230.625,"[2, 5, 8]","['D5', 'F5', 'G#4']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
231.0 to 231.875,"[3, 10]","['B-2', 'E-5']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
232.0 to 232.625,"[3, 7]","['E-5', 'G4']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
233.0 to 233.625,"[3, 7]","['E-5', 'G4']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
234.0 to 234.875,"[8, 10]","['B-2', 'G#4']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
235.0 to 235.625,"[2, 5, 8]","['D4', 'F4', 'G#4']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
236.0 to 236.625,"[2, 5, 8]","['D4', 'F4', 'G#4']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
237.0 to 237.875,"[7, 10]","['B-2', 'G4']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
238.0 to 238.625,"[3, 7]","['E-4', 'G4']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
239.0 to 239.625,"[3, 7]","['E-4', 'G4']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
240.0 to 240.75,"[5, 8]","['F4', 'G#4']","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
241.0 to 241.0,"[3, 10]","['B-2', 'E-4']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
242.0 to 242.0,"[2, 10]","['B-2', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
243.0 to 243.875,[3],"['E-3', 'E-4']","[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
244.0 to 244.75,"[3, 5, 7]","['E-4', 'F3', 'G3']","[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]"
245.0 to 245.5,"[2, 3]","['D3', 'E-3']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
246.0 to 246.875,"[0, 3, 7]","['C3', 'C4', 'E-4', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
247.0 to 247.75,"[0, 3, 7]","['C4', 'C5', 'E-4', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
248.0 to 248.875,"[0, 3, 7, 8]","['C4', 'C5', 'E-4', 'G#5', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]"
249.0 to 249.875,"[0, 2, 6, 7]","['C4', 'C5', 'D4', 'F#5', 'G5']","[2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
250.0 to 250.875,"[0, 2, 6]","['C4', 'C5', 'D4', 'F#5']","[2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
251.0 to 251.75,"[0, 2, 6]","['C4', 'C5', 'D4', 'F#5']","[2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
252.0 to 252.0,"[2, 5, 11]","['B3', 'B4', 'D4', 'F5']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2]"
253.0 to 253.875,"[2, 11]","['B3', 'B4', 'B5', 'D4', 'D6']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
254.0 to 254.875,"[2, 5, 7, 11]","['B3', 'B4', 'D4', 'F5', 'G5']","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2]"
255.0 to 255.875,"[0, 3, 5]","['C4', 'C5', 'E-5', 'F5']","[2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
256.0 to 256.0,"[0, 3]","['C3', 'C4', 'E-5']","[2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
258.0 to 258.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
259.0 to 259.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
260.0 to 260.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
261.0 to 261.0,"[2, 5, 8, 11]","['B4', 'D4', 'F3', 'G#5']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
262.5 to 262.5,"[2, 5, 11]","['B4', 'D4', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
263.0 to 263.0,"[0, 3, 7]","['C5', 'E-3', 'E-4', 'G4']","[1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]"
264.0 to 264.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
265.0 to 265.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
266.0 to 266.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
267.0 to 267.0,"[2, 5, 8, 11]","['B4', 'D4', 'F3', 'G#5']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
268.5 to 268.5,"[2, 5, 11]","['B4', 'D4', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
269.0 to 269.0,"[0, 3, 7]","['C5', 'E-3', 'E-4', 'G4']","[1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]"
270.0 to 270.75,"[2, 3]","['D5', 'E-5']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
271.0 to 271.0,"[0, 3, 7]","['C5', 'E-4', 'G3', 'G4']","[1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0]"
272.0 to 272.0,"[2, 7, 11]","['B4', 'D4', 'G2', 'G3']","[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]"
273.0 to 273.875,[0],"['C3', 'C4', 'C5']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
274.0 to 274.75,"[0, 7]","['C4', 'C5', 'G2', 'G3']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
275.0 to 275.0,[0],"['C2', 'C3']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
276.0 to 276.75,"[3, 7]","['E-4', 'G4']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
277.0 to 277.0,[3],['E-4'],"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
278.0 to 278.0,[7],"['G2', 'G3']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
279.0 to 279.0,[8],"['G#2', 'G#3']","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
280.0 to 280.0,"[0, 8]","['C5', 'G#4']","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
281.0 to 281.0,"[0, 8]","['C5', 'G#4']","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
282.0 to 282.75,"[5, 9]","['A4', 'F4']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
283.0 to 283.0,[5],['F4'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
284.0 to 284.0,[9],"['A2', 'A3']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
285.0 to 285.0,[10],"['B-2', 'B-3']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
286.0 to 286.0,"[2, 10]","['B-4', 'D5']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
287.0 to 287.0,"[2, 10]","['B-4', 'D5']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
288.0 to 288.875,"[2, 10]","['B-2', 'D5']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
289.0 to 289.625,"[2, 5, 8]","['D5', 'F5', 'G#4']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
290.0 to 290.625,"[2, 5, 8]","['D5', 'F5', 'G#4']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
291.0 to 291.875,"[3, 10]","['B-2', 'E-5']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
292.0 to 292.625,"[3, 7]","['E-5', 'G4']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
293.0 to 293.625,"[3, 7]","['E-5', 'G4']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
294.0 to 294.875,"[8, 10]","['B-2', 'G#4']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
295.0 to 295.625,"[2, 5, 8]","['D4', 'F4', 'G#4']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
296.0 to 296.625,"[2, 5, 8]","['D4', 'F4', 'G#4']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
297.0 to 297.875,"[7, 10]","['B-2', 'G4']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
298.0 to 298.625,"[3, 7]","['E-4', 'G4']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
299.0 to 299.625,"[3, 7]","['E-4', 'G4']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
300.0 to 300.75,"[5, 8]","['F4', 'G#4']","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
301.0 to 301.0,"[3, 10]","['B-2', 'E-4']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
302.0 to 302.0,"[2, 10]","['B-2', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
303.0 to 303.875,[3],"['E-3', 'E-4']","[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
304.0 to 304.75,"[3, 5, 7]","['E-4', 'F3', 'G3']","[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]"
305.0 to 305.5,"[2, 3]","['D3', 'E-3']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
306.0 to 306.875,"[0, 3, 7]","['C3', 'C4', 'E-4', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
307.0 to 307.75,"[0, 3, 7]","['C4', 'C5', 'E-4', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
308.0 to 308.875,"[0, 3, 7, 8]","['C4', 'C5', 'E-4', 'G#5', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]"
309.0 to 309.875,"[0, 2, 6, 7]","['C4', 'C5', 'D4', 'F#5', 'G5']","[2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
310.0 to 310.875,"[0, 2, 6]","['C4', 'C5', 'D4', 'F#5']","[2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
311.0 to 311.75,"[0, 2, 6]","['C4', 'C5', 'D4', 'F#5']","[2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
312.0 to 312.0,"[2, 5, 11]","['B3', 'B4', 'D4', 'F5']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2]"
313.0 to 313.875,"[2, 11]","['B3', 'B4', 'B5', 'D4', 'D6']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
314.0 to 314.875,"[2, 5, 7, 11]","['B3', 'B4', 'D4', 'F5', 'G5']","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2]"
315.0 to 315.875,"[0, 3, 5]","['C4', 'C5', 'E-5', 'F5']","[2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
316.0 to 316.0,"[0, 3]","['C3', 'C4', 'E-5']","[2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
318.0 to 318.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
319.0 to 319.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
320.0 to 320.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
321.0 to 321.0,"[2, 5, 8, 11]","['B4', 'D4', 'F3', 'G#5']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
322.5 to 322.5,"[2, 5, 11]","['B4', 'D4', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
323.0 to 323.0,"[0, 3, 7]","['C5', 'E-3', 'E-4', 'G4']","[1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]"
324.0 to 324.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
325.0 to 325.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
326.0 to 326.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
327.0 to 327.0,"[2, 5, 8, 11]","['B4', 'D4', 'F3', 'G#5']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
328.5 to 328.5,"[2, 5, 11]","['B4', 'D4', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
329.0 to 329.0,"[0, 3, 7]","['C5', 'E-3', 'E-4', 'G4']","[1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]"
330.0 to 330.75,"[2, 3]","['D5', 'E-5']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
331.0 to 331.0,"[0, 3, 7]","['C5', 'E-4', 'G3', 'G4']","[1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0]"
332.0 to 332.0,"[2, 7, 11]","['B4', 'D4', 'G2', 'G3']","[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]"
333.0 to 333.875,[0],"['C3', 'C4', 'C5']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
334.0 to 334.75,"[0, 7]","['C4', 'C5', 'G2', 'G3']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
335.0 to 335.0,[0],"['C2', 'C3']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
